trialStress(1),trialStrain(1),FI_LT,r1Plus,d1Plus
   0.3807610152396396E+00,   0.2433565032610204E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4019144049751751E+00,   0.2568763089977437E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4230677947107107E+00,   0.2703961147344671E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4442211844462461E+00,   0.2839159204711904E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4653745741817817E+00,   0.2974357262079138E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4865279639173172E+00,   0.3109555319446372E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5076813536528527E+00,   0.3244753376813605E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5288347433883883E+00,   0.3379951434180839E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5499881331239238E+00,   0.3515149491548072E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5711415228594593E+00,   0.3650347548915306E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5922949125949949E+00,   0.3785545606282539E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6134483023305304E+00,   0.3920743663649773E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6346016920660660E+00,   0.4055941721017007E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6557550818016015E+00,   0.4191139778384240E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6769084715371370E+00,   0.4326337835751474E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6980618612726726E+00,   0.4461535893118707E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.7192152510082079E+00,   0.4596733950485940E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
