trialStress(2),trialStrain(2),FI_MT,r2Plus,d2Plus
   0.4070145967054080E-01,   0.4222058990621008E-02,   0.5795283297837542E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4131814845342779E-01,   0.4286029581387994E-02,   0.5953361505628944E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4193483723631477E-01,   0.4350000172154978E-02,   0.6113537351781445E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4255152601920175E-01,   0.4413970762921963E-02,   0.6275810836295048E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4316821480208873E-01,   0.4477941353688948E-02,   0.6440181959169752E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4378490358497571E-01,   0.4541911944455933E-02,   0.6606650720405557E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4440159236786270E-01,   0.4605882535222918E-02,   0.6775217120002465E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4501828115074968E-01,   0.4669853125989903E-02,   0.6945881157960471E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4563496993363666E-01,   0.4733823716756888E-02,   0.7118642834279579E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4625165871652364E-01,   0.4797794307523873E-02,   0.7293502148959790E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4686834749941062E-01,   0.4861764898290858E-02,   0.7470459102001102E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4748503628229760E-01,   0.4925735489057842E-02,   0.7649513693403516E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4810172506518458E-01,   0.4989706079824828E-02,   0.7830665923167031E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4871841384807157E-01,   0.5053676670591813E-02,   0.8013915791291646E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4933510263095855E-01,   0.5117647261358798E-02,   0.8199263297777362E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4995179141384553E-01,   0.5181617852125783E-02,   0.8386708442624179E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5056848019673251E-01,   0.5245588442892767E-02,   0.8576251225832098E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5118516897961950E-01,   0.5309559033659753E-02,   0.8767891647401119E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5180185776250648E-01,   0.5373529624426738E-02,   0.8961629707331240E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5241854654539346E-01,   0.5437500215193723E-02,   0.9157465405622462E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5303523532828044E-01,   0.5501470805960708E-02,   0.9355398742274786E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5365192411116742E-01,   0.5565441396727692E-02,   0.9555429717288212E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5426861289405440E-01,   0.5629411987494677E-02,   0.9757558330662738E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5488530167694139E-01,   0.5693382578261663E-02,   0.9961784582398368E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5444828574532471E-01,   0.5757353169028648E-02,   0.1016810847249510E+01,   0.1016810847249510E+01,   0.1677721555398803E-01
   0.5378655738642209E-01,   0.5821323759795632E-02,   0.1037653000095293E+01,   0.1037653000095293E+01,   0.3682280927745685E-01
   0.5314182399069842E-01,   0.5885294350562617E-02,   0.1058704916777186E+01,   0.1058704916777186E+01,   0.5626885041275076E-01
   0.5251338530280407E-01,   0.5949264941329602E-02,   0.1079966597295189E+01,   0.1079966597295189E+01,   0.7513906664154613E-01
   0.5190058055332621E-01,   0.6013235532096588E-02,   0.1101438041649303E+01,   0.1101438041649303E+01,   0.9345602052262569E-01
   0.5130278565646435E-01,   0.6077206122863573E-02,   0.1123119249839526E+01,   0.1123119249839526E+01,   0.1112411776362952E+00
   0.5071941064554770E-01,   0.6141176713630557E-02,   0.1145010221865860E+01,   0.1145010221865860E+01,   0.1285149701135849E+00
   0.5014989732304807E-01,   0.6205147304397542E-02,   0.1167110957728303E+01,   0.1167110957728303E+01,   0.1452968559047922E+00
   0.4959371710433040E-01,   0.6269117895164527E-02,   0.1189421457426858E+01,   0.1189421457426858E+01,   0.1616053741115246E+00
   0.4905036903665520E-01,   0.6333088485931513E-02,   0.1211941720961522E+01,   0.1211941720961522E+01,   0.1774581966788504E+00
   0.4851937797694005E-01,   0.6397059076698497E-02,   0.1234671748332296E+01,   0.1234671748332296E+01,   0.1928721767192189E+00
   0.4800029291354482E-01,   0.6461029667465482E-02,   0.1257611539539180E+01,   0.1257611539539180E+01,   0.2078633937171500E+00
   0.4749268541889080E-01,   0.6525000258232467E-02,   0.1280761094582174E+01,   0.1280761094582174E+01,   0.2224471958431575E+00
   0.4699614822109220E-01,   0.6588970848999452E-02,   0.1304120413461279E+01,   0.1304120413461279E+01,   0.2366382395866590E+00
   0.4651029388398699E-01,   0.6652941439766438E-02,   0.1327689496176494E+01,   0.1327689496176494E+01,   0.2504505269006422E+00
   0.4603475358602630E-01,   0.6716912030533422E-02,   0.1351468342727819E+01,   0.1351468342727819E+01,   0.2638974400353618E+00
   0.4556917598943193E-01,   0.6780882621300407E-02,   0.1375456953115254E+01,   0.1375456953115254E+01,   0.2769917742242439E+00
   0.4511322619187831E-01,   0.6844853212067392E-02,   0.1399655327338799E+01,   0.1399655327338799E+01,   0.2897457683722916E+00
   0.4466658475370706E-01,   0.6908823802834377E-02,   0.1424063465398454E+01,   0.1424063465398454E+01,   0.3021711338855455E+00
   0.4422894679435417E-01,   0.6972794393601362E-02,   0.1448681367294219E+01,   0.1448681367294219E+01,   0.3142790817694121E+00
   0.4380002115227002E-01,   0.7036764984368347E-02,   0.1473509033026094E+01,   0.1473509033026094E+01,   0.3260803481138500E+00
   0.4337952960314716E-01,   0.7100735575135332E-02,   0.1498546462594080E+01,   0.1498546462594080E+01,   0.3375852180744268E+00
   0.4296720613175288E-01,   0.7164706165902317E-02,   0.1523793655998176E+01,   0.1523793655998176E+01,   0.3488035484500178E+00
   0.4256279625309223E-01,   0.7228676756669302E-02,   0.1549250613238381E+01,   0.1549250613238381E+01,   0.3597447889503824E+00
   0.4216605637901549E-01,   0.7292647347436287E-02,   0.1574917334314697E+01,   0.1574917334314697E+01,   0.3704180022399243E+00
   0.4177675322673063E-01,   0.7356617938203272E-02,   0.1600793819227123E+01,   0.1600793819227123E+01,   0.3808318828375931E+00
   0.4139466326599493E-01,   0.7420588528970257E-02,   0.1626880067975659E+01,   0.1626880067975659E+01,   0.3909947749470426E+00
   0.4101957220204145E-01,   0.7484559119737242E-02,   0.1653176080560306E+01,   0.1653176080560306E+01,   0.4009146892857964E+00
   0.4065127449155126E-01,   0.7548529710504227E-02,   0.1679681856981062E+01,   0.1679681856981062E+01,   0.4105993189772307E+00
   0.4028957288921159E-01,   0.7612500301271211E-02,   0.1706397397237929E+01,   0.1706397397237929E+01,   0.4200560545646393E+00
   0.3993427802260893E-01,   0.7676470892038196E-02,   0.1733322701330905E+01,   0.1733322701330905E+01,   0.4292919982024558E+00
